tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
26582909,81,tess2024196212429-s0081-0000000026582909-0276-s_lc.fits,27.5722742,2454978.39277,-2021.607230000198,5.292,3506.553813963351,3533.178939866715,3520.4198841998023
26582909,82,tess2024223182411-s0082-0000000026582909-0278-s_lc.fits,27.5722742,2454978.39277,-2021.607230000198,5.292,3533.394217567301,3559.248120398782,3547.992158399802
26584326,74,tess2024003055635-s0074-0000000026584326-0269-s_lc.fits,4.959319244,2455005.25853,-1994.7414699997753,2.22739,3312.861847196965,3339.567091910931,3316.689440324224
26584326,75,tess2024030031500-s0075-0000000026584326-0270-s_lc.fits,4.959319244,2455005.25853,-1994.7414699997753,2.22739,3339.782368727642,3367.481128742101,3341.4860365442246
26584326,81,tess2024196212429-s0081-0000000026584326-0276-s_lc.fits,4.959319244,2455005.25853,-1994.7414699997753,2.22739,3506.553916851911,3533.179030829922,3510.102890840224
26584326,82,tess2024223182411-s0082-0000000026584326-0278-s_lc.fits,4.959319244,2455005.25853,-1994.7414699997753,2.22739,3533.394308381962,3559.24818219285,3534.8994870602246
26656435,81,tess2024196212429-s0081-0000000026656435-0276-s_lc.fits,14.2563227,2454966.405,-2033.595000000205,4.389,3506.553850876903,3533.178984640979,3512.1145302997948
26656435,82,tess2024223182411-s0082-0000000026656435-0278-s_lc.fits,14.2563227,2454966.405,-2033.595000000205,4.389,3533.394262377887,3559.248164228103,3540.627175699795
26656768,74,tess2024003055635-s0074-0000000026656768-0269-s_lc.fits,9.4060467,2454970.7175,-2029.282500000205,5.161,3312.861939182299,3339.567163008795,3313.3520255997946
26656768,75,tess2024030031500-s0075-0000000026656768-0270-s_lc.fits,9.4060467,2454970.7175,-2029.282500000205,5.161,3339.782439563106,3367.481161510686,3341.5701656997944
26656768,81,tess2024196212429-s0081-0000000026656768-0276-s_lc.fits,9.4060467,2454970.7175,-2029.282500000205,5.161,3506.553827125733,3533.178967803133,3510.879006299795
26656768,82,tess2024223182411-s0082-0000000026656768-0278-s_lc.fits,9.4060467,2454970.7175,-2029.282500000205,5.161,3533.394245605233,3559.248157387306,3539.097146399795
26657021,81,tess2024196212429-s0081-0000000026657021-0276-s_lc.fits,5.86601526,2454969.35597,-2030.6440300000831,3.978,3506.553807549449,3533.178950308238,3506.8743754399175
26657021,82,tess2024223182411-s0082-0000000026657021-0278-s_lc.fits,5.86601526,2454969.35597,-2030.6440300000831,3.978,3533.394228137114,3559.248145294781,3536.204451739917
26657021,83,tess2024249191853-s0083-0000000026657021-0280-s_lc.fits,5.86601526,2454969.35597,-2030.6440300000831,3.978,3559.42869802197,3584.376742540351,3559.6685127799174
26814296,74,tess2024003055635-s0074-0000000026814296-0269-s_lc.fits,6.2216147,2454964.99143,-2035.0085700000636,3.2606,3312.861911647049,3339.56712196308,3315.580071999936
26814296,75,tess2024030031500-s0075-0000000026814296-0270-s_lc.fits,6.2216147,2454964.99143,-2035.0085700000636,3.2606,3339.782398450802,3367.481115828615,3340.4665307999367
26814296,81,tess2024196212429-s0081-0000000026814296-0276-s_lc.fits,6.2216147,2454964.99143,-2035.0085700000636,3.2606,3506.553861409812,3533.179012111503,3508.4501276999363
26814296,82,tess2024223182411-s0082-0000000026814296-0278-s_lc.fits,6.2216147,2454964.99143,-2035.0085700000636,3.2606,3533.394289967852,3559.248202954359,3539.558201199936
26817284,74,tess2024003055635-s0074-0000000026817284-0269-s_lc.fits,4.977656,2454967.67151,-2032.3284900002182,2.553,3312.861832099062,3339.567042442335,3313.674053999782
