tic_id,period,t0,duration
150096001,11.02454,2457826.1709,2.32
150096001,26.5841,2457837.8657,1.44
151483286,4.039709,2459023.44641,3.804
151759246,2.6278838,2459771.7145,1.2
152569268,1.05426244177,2459329.65318,1.3052791
152852327,9.1751,2457590.1491,7.169
154220877,2.002849,2458901.48892,1.66
154293917,6.607662,2459011.15791,4.517
154474036,8.62392630369,2459634.20076,2.0612885
154870955,7.9698747128,2458839.05558,2.5223426
157236902,101.94054,2459395.1256,12.002
157266693,3.8537768,2457236.75653,3.5064
158025009,1.0697568,2458739.4621,1.5
158108219,1.980357663,2455003.13903,2.4332
158108219,12.8345022,2454971.32478,3.2666
158108219,35.86619949,2454968.9464,7.216
158113449,2.437033302,2455003.73724,3.201
158114000,40.0587473,2455002.91131,5.533
158114283,76.957857,2455025.33214,9.384
158170594,1.7208604,2454966.02122,2.03459
158172348,36.8601,2454971.90683,7.495
158172348,49.40926,2455031.23887,5.243
158175366,47.1611696,2454983.25323,4.059
158212755,9.06689421,2454967.75212,2.957
158215023,6.24146367,2454967.88704,3.0771
158270511,3.584101216,2455003.42791,2.7445
158275161,14.13176026,2454975.26113,3.854
158278132,9.08237046,2454972.65023,2.025
158317637,49.6221509,2454970.10026,7.093
158317824,20.38177573,2454975.31445,3.7429
158322296,120.0181272,2454967.18927,11.604
158324044,5.95966,2454968.0069,2.896
158324326,24.4002549,2454968.62939,2.875
158325998,234.239,2455043.80985,12.925
158393923,11.8681707,2454970.74767,5.977
158393923,17.9801235,2454980.69818,4.1249
158423850,2.358951515,2454965.69119,1.633
158423850,3.383538066,2455002.63954,1.4365
158433884,10.08740044,2454968.13582,2.9884
158486560,11.36112327,2454969.92653,4.2053
158486842,4.37034536,2454964.92397,2.819
158489095,3.273460736,2454967.44686,1.7732
158489110,15.57129955,2454969.58514,2.155
158490928,24.58721573,2455006.70385,3.8669
158551888,16.257582,2454972.64774,6.596
158551888,31.805174,2455023.2483,8.316
158552258,4.48558383,2454968.43221,0.8208
158555987,5.546083665,2454966.50335,2.3929
158559018,37.3331536,2454995.90448,7.294
158588995,1.977143,2458641.40455,1.1104153
158625964,5.4122034,2454955.3186,2.9472
158625964,7.12592,2454957.753,3.0014
158630233,7.97034958,2454969.55753,2.7665
158660814,4.182002531,2455005.78951,2.2165
158664318,8.115317,2455007.51955,2.954
158664318,36.924931,2455007.22336,4.723
158664331,16.00460052,2454973.48284,3.9475
158722379,321.2120056,2455039.93008,3.961
158730203,15.7738221,2454970.53085,4.9443
158730471,4.34195123,2454967.18495,2.696
158838923,10.94027841,2455003.30652,2.2868
158839841,158.6853308,2455006.94915,11.677
158843824,1.311555568,2454964.53493,2.025
158933249,9.10967112,2454966.06724,5.3021
158933249,88.40655258,2455009.27557,12.3073
158935283,5.66793,2454964.8981,4.88
158935283,13.17562,2454976.6764,6.7
158935283,21.77596,2455022.6342,8.011
158935283,31.7844,2454968.8715,8.9
158935283,41.02902,2455005.5763,9.87
158936201,4.44448017,2454966.46263,3.35
158986028,37.94563,2454967.78267,4.025
158986490,5.50860439,2454965.29848,2.9468
158989438,20.35972599,2454967.29096,1.9164
158992508,6.766589,2454971.05891,2.598
158992508,33.60134,2455053.2826,4.4539
159043952,85.7350285,2455003.98553,7.457
159051209,134.4628,2455002.2814,5.874
159051209,284.215,2455033.83937,7.793
159099116,11.903515,2455011.34082,4.215
159099116,34.035257,2454967.4229,7.057
159099716,14.20443009,2454975.73343,3.979
159105397,2.46050993,2454966.61249,2.003
159160230,5.43691503941,2459627.13284,4.5164437
159174926,7.031462,2454967.45161,5.848
159174926,13.61159129,2454977.17209,7.508
159174926,54.280749,2454973.7172,5.373
159175206,18.45847097,2454971.16463,3.3077
159177065,0.968526023,2454964.51141,1.2904
159177232,46.71640015,2454978.4922,7.353
159216808,14.5564533,2454974.04324,4.57
159225155,12.53248465,2455003.76497,4.0098
159226052,3.292781,2454966.00966,4.767
159226052,9.693201,2454965.8115,5.509
159226202,17.14647302,2454973.66098,3.841
159304134,14.1960001,2454970.01409,3.577
159304741,18.93054959,2454976.25236,3.344
159311390,16.33889626,2455010.91676,9.3575
159376971,10.3134,2454956.236,1.92
159376971,13.7815,2454955.7288,2.263
159376971,23.0923,2454957.816,1.7012
159395366,18.0540381,2454980.79923,4.409
159396818,4.59489604,2454966.83999,2.853
159418353,8.303341406,2459631.82035,1.8708
159441326,4.30655689,2454965.44215,4.0697
159444082,4.921355,2455007.29899,1.873
159444082,7.06424,2454968.37914,1.351
159449495,13.78730011,2454977.7763,5.747
159451957,126.5569992,2454978.69361,7.923
159520040,6.892129898,2454964.63493,1.7137
159573063,2.391609907,2454966.07853,1.916
159574927,34.3511874,2454967.18978,4.222
159576968,0.634002937,2454964.89483,0.9237
159580427,5.743477265,2455007.89832,3.4527
159646633,3.91795101,2454965.86406,2.586
159647213,5.945041017,2455003.47298,2.5711
159647213,9.939632,2454964.58517,2.917
159647213,17.738506,2454981.98862,2.821
159649308,42.87770081,2454989.06967,1.991
159723041,3.81371974,2454965.57103,2.005
159725995,3.770552098,2455190.11824,3.8277
159742538,3.55395,2460478.71288,3.6341388
159759306,4.159807,2454966.78646,1.626
159759306,9.034199,2455004.01425,1.486
159759306,28.122397,2454979.91883,4.103
159759306,45.902733,2454999.56251,5.088
159762011,7.281099796,2454965.7518,2.716
159763320,12.4127754,2454973.36032,4.369
159763595,22.9221266,2454966.6665,8.261
159763612,7.25931979,2454964.71187,6.198
159873822,13.79019,2458739.1174,3.301
160440924,6.36861010462,2459430.57482,6.4190878
160578764,2.8786765,2457271.3331,2.3136
161032923,3.9652482,2459756.40002,1.02
162289289,3.8212867,2460055.72703,2.486
163539739,14.47567,2458711.9595,1.6182484
164413187,3.23941344,2454966.98443,2.654
164460740,17.1369543,2454974.01371,6.366
164464070,65.70459747,2454970.4421,3.2645
164522561,175.138819,2455129.03986,10.666
164527695,3.93766373,2454968.27848,4.916
164552984,10.00652995,2455009.9688,5.218
164555061,49.1013514,2454969.46989,6.323
164555597,0.893041236,2454967.54028,1.1042
164555597,9.467814048,2455011.41646,2.4437
164557694,68.8861915,2454993.29804,5.95
164654277,5.835983111,2455002.87515,2.0601
164670756,26.41045478,2454982.39497,2.996
164671591,133.3036741,2455000.7559,7.416
164721250,18.39629936,2455018.14015,2.7838
164721823,73.7578875,2455016.72348,2.69
164723136,4.221625357,2455006.69987,2.8959
164723619,20.16034462,2454977.3439,3.8215
164724987,5.94566534,2454966.99298,2.1737
164726831,5.392025388,2455004.72742,2.981
164784178,48.88819885,2454986.8116,6.468
164828012,20.739886,2455006.21817,3.014
164828012,47.427737,2455049.55425,5.114
164828012,122.0800018,2454988.0218,4.121
164833065,3.543919,2454969.25903,2.012
164833065,12.28,2456471.2497,2.7096
164833065,17.2559,2456470.183,2.0371
164833065,46.827915,2454969.74318,2.084
164836049,2.42150341,2454966.83517,2.965
164836049,5.83376092,2454971.74873,3.8589
164882868,60.0855082,2454986.25486,6.929
164883912,16.57110363,2454966.90279,2.9613
164884235,5.629021,2454967.74616,3.913
